85.184 249.562    0.010 20 1000 8461.556
157.464 461.320    0.019 25 1000 8236.093
592.704 1736.438    0.099 40 1000 5967.560
1124.864 3295.500    0.182 50 1000 6174.252
1906.624 5585.812    0.328 60 1000 5812.774
4410.944 12922.688    0.743 80 1000 5937.848
8489.664 24872.062    1.732 100 1000 4902.335
14526.784 42558.938    3.700 120 1000 3926.243
28094.464 82308.000    8.346 150 1000 3366.028
65939.264 193181.438   23.216 200 1000 2840.254
128024.064 375070.500   45.435 250 1000 2817.733
220348.864 645553.312   77.078 300 1000 2858.781
348913.664 1022208.000  124.156 350 1000 2810.280
519718.464 1522612.750  184.402 400 1000 2818.400
