85.184 249.562    0.023 20 1000 3762.441
157.464 461.320    0.038 25 1000 4124.649
592.704 1736.438    0.144 40 1000 4110.478
1124.864 3295.500    0.270 50 1000 4171.748
1906.624 5585.812    0.455 60 1000 4189.809
4410.944 12922.688    1.043 80 1000 4228.063
8489.664 24872.062    1.980 100 1000 4288.126
14526.784 42558.938    4.632 120 1000 3136.243
28094.464 82308.000   10.075 150 1000 2788.500
65939.264 193181.438   23.487 200 1000 2807.511
290535.680 42558.938   92.057 120 20000 3156.030
561889.280 82308.000  201.964 150 20000 2782.124
