8.000 0.633    0.000 1 2 inf
1000.000 8.039    0.000 5 66 inf
8000.000 40.500    0.000 10 221 inf
27000.000 115.148    0.000 15 461 inf
64000.000 249.562    0.030 20 783 2133333.333
125000.000 461.320    0.070 25 1000 1785714.286
512000.000 1736.438    0.290 40 1000 1765517.241
1728000.000 5585.812    1.010 60 1000 1710891.089
4096000.000 12922.688    2.370 80 1000 1728270.042
8000000.000 24872.062    4.670 100 1000 1713062.099
13824000.000 42558.938    8.770 120 1000 1576282.782
64000000.000 193181.438   45.510 200 1000 1406284.333
