8.000 0.633    0.000 1 2 inf
1000.000 8.039    0.000 5 66 inf
8000.000 40.500    0.000 10 221 inf
27000.000 115.148    0.000 15 461 inf
64000.000 249.562    0.020 20 783 3200000.000
125000.000 461.320    0.060 25 1000 2083333.333
512000.000 1736.438    0.250 40 1000 2048000.000
1728000.000 5585.812    0.870 60 1000 1986206.897
4096000.000 12922.688    2.290 80 1000 1788646.288
8000000.000 24872.062    5.400 100 1000 1481481.481
13824000.000 42558.938    9.840 120 1000 1404878.049
64000000.000 193181.438   45.400 200 1000 1409691.630
