8.000 0.633    0.000 1 2 inf
1000.000 8.039    0.000 5 66 inf
8000.000 40.500    0.000 10 221 inf
27000.000 115.148    0.000 15 461 inf
64000.000 249.562    0.020 20 783 3200000.000
125000.000 461.320    0.060 25 1000 2083333.333
512000.000 1736.438    0.250 40 1000 2048000.000
1728000.000 5585.812    0.860 60 1000 2009302.326
4096000.000 12922.688    2.120 80 1000 1932075.472
8000000.000 24872.062    4.870 100 1000 1642710.472
13824000.000 42558.938    9.530 120 1000 1450577.125
64000000.000 193181.438   45.310 200 1000 1412491.724
